公司名称,职位,薪资,城市,工作地址,经验要求,学历要求,职位描述
CloudChef,python实习,4k-6k,上海,长阳路2555号,经验应届毕业生,本科及以上,职位描述：岗位职责1.云管理平台Web后端任务编排系统开发2.监控平台的设计与开发3.数据分析平台的设计与开发4.修复产品缺陷5.产品性能优化任职要求1.熟练掌握Pytho，C，C++，Java，Golag中至少一门语言2.熟练使用Liux系统3.有良好的编码习惯4.数据结构和算法基础扎实5.熟悉MySQL等至少一种关系型数据库的原理和操作6.有较强的学习能力、团队合作能力、沟通能力
字节跳动,python开发实习生,7k-8k,上海,五角场黄兴路2218号合生汇17楼,经验应届毕业生,本科及以上,职位描述：职位职责：1、负责网页信息和APP数据抽取、清洗、消重、数据结构化等工作；2、维护现有的数据处理代码并优化。职位要求：1、本科及以上学历，每周能实习4天或以上，连续实习3个月以上；2、优秀的编码能力，有良好的设计模式、数据结构和算法功底；3、掌握golag/java/c++/php/pytho中的一种，对编程有强烈的热情；4、有求知欲，认真负责，乐于协作。
拍拍贷,Python实习生,3k-5k,上海,上海市浦东新区丹桂路999号G1栋,经验应届毕业生,本科及以上,职位描述：【岗位职责】1）结合业务需求持续优化线上系统，并进行规划以及负责系统需求分析、架构设计、模块开发；2）参与设计和实现数据业务监控系统、风控系统、数据管理系统、智能应用系统等；3）设计并开发实现适用于公司环境的标准化自动化工具，持续提升工作效率；4）对互联网行业技术敏感度高且细致，善于思考，乐于发现，对解决具有挑战性问题充满激情。【任职要求】1）有比较丰富的Liux系统使用经验，熟悉PythoWeb2）熟悉以下技术栈优先：html/css/js、Golag、Docker、分布式计算框架3）对主流数据库，如MySQL、PostgresSql、MogoDB等，有使用和相关开发经验；4）了解和掌握一些通用技术的原理，比如tcp/http/smp等协议规范等等；了解数据挖掘、统计模型等5）具备顺畅的沟通能力和主动的学习意识
数旦信息,Python开发实习生,5k-6k,上海,钦州路100号,经验应届毕业生,本科及以上,职位描述：岗位职责】1、负责后端功能的开发、性能优化和单元测试2、负责后端相关文档编写3、参与后端的需求和设计讨论【任职要求】1、全日制本科及以上学历，计算机或相关专业2、熟悉Pytho，编程功底扎实3、熟悉Liux开发环境，熟悉Redis及Mysql等数据库4、具备极强的开发能力、学习能力和抗压能力5、国家级技术类竞赛（如数学建模、ACM）一等奖获奖者优先6、可连续实习半年以上
名片全能王,python开发实习生,4k-6k,上海,万荣路1256、1258号云立方A座11、12层,经验应届毕业生,本科及以上,"职位描述：工作职责:1.参与新闻舆情系统开发；2.参与新闻数据加工，流转，数据产品开发；3.数据相关的后端服务开发;4.参与新技术调研和基础模块开发任职资格:1.计算机相关专业，有扎实的计算机理论基础；2.熟悉Pytho,Java,C/C++,Go等任意开发语言，有良好的编程风格和习惯；3.熟悉网络协议，熟悉liux，mysql，redis等；4.有socket编程经验，熟悉网络开发模式，开源web服务器；5.有较好的交流沟通能力，较强的责任感；"
盒境,Python课研助理,2k-3k,上海,七莘路1839号108财富广场,经验应届毕业生,本科及以上,职位描述：一、岗位职责1、协助课研经理开发Pytho课程；2、Pytho课程包制作，包含素材的寻找、案例的制作、课件的制作；3、在线课程平台的对接和平台所需内容的上传和修改；4、开发过程中培训老师所需要的内容制作；二、任职要求1、大学本科或者硕博在读的计算机科学以及和计算机相关的学生；
哈啰出行,【暑期实习生】数据仓库开发...,4k-6k,上海,秀文路898号西子国际中心,经验应届毕业生,本科及以上,"职位描述：工作职责:1、负责公司离线数据仓库的搭建和维护，包括数据仓库的数据模型设计，包括ODS层设计、DW层设计、数据集市的设计；2、数据处理的调度、数据预处理、数据质量监控系统的设计和开发，参与ETL开发和维护；3、业务数据支持，为日常运营活动提供数据支持；4、参与数据基础架构规划和数据规范制定，保证公司业务报表的输出；5、优化数据存储和计算平台，确保数据平台的可靠运行;6、负责公司准实时、实时数据数据应用开发任职资格:1、2020届，计算机及相关专业本科以上学历；优秀者可转正2、熟悉Liux常用操作，能使用Pytho、Shell等编写脚本语言3.熟悉Hivesql语句编写及其性能调优,熟悉数据仓库建模方法论4.熟悉Hadoop、Spark、Kafka、Flik、hbase、Elasticsearch等的设计原理，熟悉其中一种或几种开源工具的源码更佳；5、熟练掌握Java、Pytho、Scala等任意一种主流开发语言；6、具有良好的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情"
英语流利说,技术实习生（后端）（暑期-有...,4k-6k,上海,长阳路1687号,经验应届毕业生,本科及以上,职位描述：职位描述：1.直接参与公司核心业务后端功能的架构设计与优化、应用开发与测试;2.解决服务、产品建设中遇到的问题，与团队一起攻克难题，不断提升系统性能。任职要求：1.计算机基础知识扎实，包括不限定于操作系统、计算机网络、数据结构和算法；2.熟练掌握至少一门语言，Ruby、Pytho、Golag、C/C++、Java等优先；3.有写测试的习惯，熟悉单元测试和集成测试；4.熟悉如何开发RESTfulAPI，对客户端的开发有一定了解者优先；5.熟悉关系型数据库，如MySQL等，熟悉NoSQL，如Redis等；6.熟练使用Git；7.19年6-9月期间，保证至少2个月的实习时长，每周5天。
酷家乐,测试开发实习生（上海）,4k-6k,上海,峨山路91弄陆家嘴软件园9号楼北塔8楼,经验应届毕业生,本科及以上,职位描述：岗位描述：我们希望你能通过需求分析，设计评审，制定测试计划，设计测试用例，搭建测试环境，执行各级别和类型的测试，缺陷跟踪，来参与到酷家乐产品测试的全流程;我们希望你能站在研发过程的全局，借助最前沿的研发技术和理念，通过测试流程、方法和工具创新，努力提升研发的质量和效率;我们希望你能够站在用户的角度，不断完善产品的用户体验，影响到我们酷家乐的用户和设计师，让他们受益。岗位要求：1.2020届毕业生，熟悉C/C++/Java等至少一种编程语言，有Shell或Ruby/PHP/Perl/Pytho等使用经验者优先;2.熟悉Liux或Uix操作系统;3.熟悉软件的开发测试流程，掌握常用测试用例设计方法，具备设计和开发测试工具和自动化测试框架能力;4.有广泛的技术视野，具备很强的学习能力、分析能力和解决问题的能力;5.喜欢钻研技术，工作积极主动，不断追求产品的完善;6.具备奉献精神，善于沟通，善于团队合作.
百融云创,数据分析实习生,10k-20k,上海,商城路506号新梅联合广场写字楼二期35层,经验应届毕业生,本科及以上,职位描述：岗位职责：1.负责协助企业风控项目的需求调研、数据分析、商业分析以及数据挖掘建模等工作；2.根据公司的实际业务要求，完成较深入的专项数据分析并形成分析报告；3.协助完成模型的构建、维护、部署和评估工作我们希望您：1.数学、统计、计算机等相关专业背景2.熟悉Pytho/Java等主流编程语言3.有相关建模经验、熟知机器学习领域算法更佳
携程,数据分析实习生,3k-4k,上海,金钟路968号SOHO大楼,经验不限,硕士及以上,职位描述：岗位职责：协助数据组完成数据处理、分析、建模、算法等工作。任职要求：（1）985、211硕士及以上学历，应用数学、统计学、计算机等相关专业在校学生（研一、研二为佳）；（2）至少熟悉一种数据库查询工具，如mysql、hive、sqlserver等，熟悉shell语句加分；（3）接触过各类数据分析方法，如（回归、聚类、分类、时序等），熟悉算法并了解其具体理论者加分（SVM、随机森林、kmeas等）；（4）至少熟悉一种数据分析、挖掘语言（R语言、pytho、SAS等），熟练掌握office办公软件；（5）保证一周4天及以上工作时间。
虎扑,技术培训生,5k-10k,上海,中山北一路121号花园坊A2座3楼,经验应届毕业生,本科及以上,职位描述：职位描述：工作职责1）作为技术储备力量，参与以下一个或多个岗位的执行工作：l移动端开发或测试lWeb前端开发或测试l后端服务开发或测试2）与项目经理、产品经理、研发人员、运营人员各角色沟通合作，共同完成虎扑旗下各产品的研发和维护工作3）定期整理、汇报工作中的成果与问题，编写成相关文档，并能在团队内分享岗位要求：1）本科及以上学历，计算机基础扎实，熟悉操作系统原理，欢迎优秀应届生投递2）编程基础扎实，至少熟练掌握C/C++、JAVA、C#、PHP、Golag、Pytho、JavaScript、Ruby开发语言中的一种3）熟悉常用算法和数据结构4）网络基础扎实，熟悉TCP/IP协议、以及其他主流的网络协议5）熟悉主流的关系数据库、NoSQL的设计建模和常用操作6）较强的学习新知识的能力，良好的沟通能力，能用例如PPT、Excel等工具展示自己的想法和成果7）希望你拥有非常正的三观，聪明的大脑去理解新事物，有高度的执行力去接受全新的挑战。以下为加分项：1）拥有实际的移动端（IOS、Adroid）开发经验2）拥有实际的服务端（运行环境必须是Liux）开发经验、熟悉Liux的基本操作3）拥有实际的Web前端开发经验4）对大数据处理有浓厚的兴趣和一定的知识储备5）对AI相关技术（NLP、机器学习等）有浓厚的兴趣和一定的知识储备6）对搜索引擎实现有浓厚的兴趣和一定的知识储备7）熟悉函数式编程，对Haskell/Erlag/Lisp及其相关的技术栈有应用经验
大雁资产,交易运维工程师（实习）,6k-9k,上海,平安财富大厦,经验应届毕业生,本科及以上,"职位描述：岗位职责：交易服务器管理及性能优化交易系统运行维护及异常处理数据系统管理及运维职位要求985、211等国内外名校理工科本硕在读，对Liux系统性能优化有偏执狂级别的热爱熟悉Pytho,bash等脚本语言，能在Liux环境下熟练的使用脚本语言进行日常维护熟悉数据库管理及存储优化技术者优先薪资福利：公司已完成应届毕业生用人单位信息登记，欢迎应届毕业生加入！有竞争力的薪酬、多样化的福利制度，让员工无后顾之忧；实力超群的技术、投研团队为交易岗位提供策略与技术支持，为员工提供更坚实的平台；广阔的上升空间，鼓励员工挖掘潜力，发挥才智，获得丰厚回报；热情温暖的团队，人性化的管理，最大程度地包容员工的个性；高档的工作午餐、丰富的茶歇点心、舒适的办公空间，为员工提供更优质的工作环境。"
树融科技,Node.js 研发（实习）,2k-4k,上海,政立路477号创智科技中心2号楼1301室,经验应届毕业生,本科及以上,职位描述：职位描述：1、负责Node.js功能模块编写；2、负责服务器后端相关项目的需求分析、详细设计以及开发工作；3、负责不断完善和优化服务器后端相关应用；4、根据项目任务计划按时完成软件编码和单元测试工作。任职要求：1、本科及以上学历或2019-2020届毕业生，有服务器开发相关经验；2、熟练掌握Node.js语言，熟悉异步事件机制，有相关项目经验优先，或有Pytho/Go/Java/C++的相关开发经验；3、扎实的编程基础，对数据结构、设计模式、算法有较好的理解；4、了解MogoDB或其他NoSQL数据库，有相关使用经验；5、了解TCP、HTTP等网络通信协议；6、了解Git工作流，有实践经验优先。
掌数科技,数据库开发工程师（实习生）,6k-12k,上海,张江高科蔡伦路1690号2号楼,经验应届毕业生,本科及以上,"职位描述：职位说明：1、通过详细的业务设计方案，编写相应的存储过程及函数。2、Greeplum、HadoopHive等的搭建、管理和性能优化。3、使用主流ETL工具（如iformatic、datastage、kettle）实现企业数据整合。岗位要求：1、计算机相关专业，本科及以上学历。2、了解pl/sql或者pl/pgsql存储过程开发，能够熟练的查看sql执行计划，有一定SQL优化经验。3、熟悉liux操作，熟悉shell编程，有java,pytho开发经验者优先。4、积极乐观、诚信、有责任心。【我们的福利】1.有竞争力的薪资+人性化管理，实行5天8小时工作制，弹性多多；提供新人导师、专业培训，整洁舒适的工作环境，氛围ice；2.社保和公积金按最高比例缴纳，入职即享有带薪年假5天，每工作一年增加1天；3.股权激励、商业保险、过节福利、生日礼金，享用不尽的零食和丰富的员工活动。【我们的发展史】上海掌数科技有限公司是一家面向大数据技术基础平台、金融大数据和AI应用、数据安全管理等领域的集软件研发、销售、技术服务和咨询于一体的金融科技企业。服务网络覆盖全国，与全国六十余家大型金融机构客户保持着良好的合作关系，在证券行业覆盖率达60%以上。典型客户有中信证券、海通证券、国泰君安证券、光大证券、东方证券、银河证券等。公司前身为福建新意科技有限公司（简称：新意科技）在2012年1月成立的数据中心产品部。2016年新意科技结合当前市场需求，积极扩展在“大数据（AI）+”和“数据安全”领域的发展，掌数科技由此成立。公司总部位于上海浦东张江高科技园区，在福州和厦门分设研发中心，在北京、上海、深圳、福州、厦门均配有工程实施及客服人员，提供全国范围内的产品推广及技术支持服务。公司已取得上海市软件企业和ISO9001质量管理体系认证，并成为中国大数据产业生态联盟会员单位。【我们的团队】公司现有员工队伍的85%以上为专业技术人员，其中拥有8年以上IT和金融行业经验的占比50%。拥有一支原厂(GreePlum和星环Hadoop）官方认证专家组成的大数据架构师团队和数名“OCM”大师级数据技术专家组成的专业化DBA团队。历经5年的技术沉淀与人才培养，掌数科技已经形成对ORACLE、GreePlum、Hadoop等主流数据技术平台的配套技术体系与人才梯队，在数据集市领域，具备咨询、设计到开发、实施的全套交付能力；在企业级数据仓库领域，具备优秀的方案实施能力。【我们的产品】在大数据领域，掌数科技逐步推出了以下产品或综合解决方案：1.金融数据分析平台软件（Z-FDAT）2.证券公司企业经营数据分析系统软件（财务/风控/运营/零售）3.证券公司经纪业务数据创新服务平台软件4.证券公司客户聚类分析和营销策略辅助决策支持解决方案5.金融行业（证券/基金/资管）企业级新一代数据平台建设咨询和实施解决方案。6.金融行业（证券/基金）企业级报表服务和BI分析自助平台解决方案。7.基于大数据和AI文本分析的互联网舆情和事件影响分析预警解决方案(A股市场上市企业交易风险预警和投资管控方向)。在数据安全等其他领域已推出或正在布局以下几类具有核心技术的产品：1.企业级数据灾备统一管理平台(E-OBAR）2.金融行业业务持续性保障(灾备应用级一体化切换)管理平台（Z-CAMP）3.信息系统辅助审计管理软件（Z-AUDIT）4.金融行业业务数据脱敏软件（Z-DataMask）【我们的合作伙伴】为加强在大数据领域的技术研发实力、解决方案设计能力和产品推广力度，掌数科技与Pivotal公司（旗下核心产品包括：GreePlum，CloudFoudry和强大的Java生态圈核心成员Sprig等）、星环科技（全球6大Hadoop发行厂商之一）、帆软报表（国内客户数排名第一的大数据BI和分析工具软件提供商）、HVR（数据实时集成产品欧洲市场占有率首位）等国内外知名厂商强强联合，打通了“大数据平台”技术生态链的上（数据可视化和AI训练）、中（数据处理和数据模型）、下（基础基础平台和数据集成）全部环节，实现了“直接交钥匙”能力，共同为金融行业在内的各行业客户提供安全、可靠、高效、丰富且具备行业领先能力的大数据综合解决方案。【加入我们】这里有积极、自主的工作氛围，有团结、包容的团队氛围，有充满挑战的技术氛围，加入我们，成为金融大数据的开拓者和建造者。"
字节跳动,Python开发实习生-短视频方向,4k-8k,上海,上海市黄浦区局门路436号8号桥二期6号楼,经验不限,本科及以上,"职位描述：职位职责：1、负责头条互娱-musical.ly服务器端研发工作，包括但不限于musical.ly、tiktok等产品的研发；2、深入发掘和分析业务需求，撰写技术方案和系统设计；3、根据产品需求，进行系统设计和编码；职位要求：1、本科以上学历，计算机或相关专业，良好的英文表达能力；2、熟练掌握Java,Pytho,Golag的一种.3、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；4、数据结构和算法基础扎实,ACM程序设计比赛获奖者优先；5、熟悉MySQL等至少一种关系型数据库的原理和操作.有NoSQL数据库实操经验者优先；6、熟悉分布式系统原理，熟练掌握一种以上服务框架和消息中间件者优先；7、熟悉Iteret常用协议，如HTTP、TCP/IP8、有较强的学习能力，有强烈的求知欲、好奇心，能及时关注和学习业界最新技术；"
名片全能王,python后端实习生,4k-6k,上海,万荣路1268号云立方A座11、12层,经验应届毕业生,本科及以上,"职位描述：工作职责:1.负责公司web项目的pytho开发，数据库设计，和接口封装调用等2.熟悉web开发流程，根据产品和交互需求给出web技术解决方案3.有丰富的项目经验，能够根据项目的业务流程、可行性、风险等给出较为合理的时间评估4.持续优化现有web框架，针对公司产品的增长，可以不断提升后端的性能和效率。通过不断学习，将新技术和业务结合，提升产品价值和技术价值。任职资格:1.熟悉pytho，有良好的编程风格和习惯2.熟悉html、JavaScript等Web相关开发技术3.熟悉至少一种pythoweb框架（Djago,flask等），熟悉常用功能组件和第三方库。4.熟悉liux操作系统，并掌握基础命令5.根据产品需求、系统需求，能够独立设计项目框架6.工作热情，责任感强，擅长与其他部门同事沟通合加分项：1.熟悉其它后端语言，如Go和php2.独立编写web框架3.系统优化，网站高并发，分布式相关经验"
哈啰出行,【暑期实习生】算法工程师-机...,4k-6k,上海,秀文路898号西子国际中心,经验应届毕业生,本科及以上,职位描述：工作职责:1、负责机器学习、深度学习领域的技术研发工作，包括但不限于神经网络模型设计与优化、强化学习、迁移学习、主动学习、维度降低、核方法、谱方法、特征提取与稀疏学习、等级学习、推荐、随机优化等的算法和系统研发；2、负责机器学习尤其是深度学习前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案。任职资格:1、2020届，本科以上学历，计算机视觉、机器学习、人工智能、数据挖掘、信息检索、自然语言处理、语音识别等领域的计算机科学、电子工程或其它人工智能相关专业毕业；2、有机器学习、深度学习、人工智能、计算机视觉等领域全球领先企业的工作经验者优先；3、精通至少一种编程语言，包括但不限于Java、go、C/C++、C#、Pytho等；4、有深度学习学术或工程项目经验者优先考虑。5、有数理分析以及数理统计基础；
英语流利说,算法实习生（暑期-有留用）,4k-6k,上海,长阳路1687号,经验应届毕业生,本科及以上,职位描述：职位描述：1.直接参与机器学习领域的前沿算法研究，应用于语言学习的各个领域，包括教学、评测、学习效率提升等。任职要求：1.计算机、软件工程等相关硕士以上学历；2.基础扎实，对新技术敏感，喜欢探索，有较强的创新意识与责任感；3.熟悉TesorFlow、Caffe、Torch、MXNet等深度学习框架；4.掌握C、C++、Java、Pytho等某一种编程语言；5.有强烈的学习激情；6.2020届全日制毕业生，19年6-9月期间，保证至少2个月的实习时长，每周5天。
百融云创,风控分析师,10k-20k,上海,商城路506号新梅联合广场写字楼二期35层,经验应届毕业生,本科及以上,职位描述：我们需要您：1.完成数据测试及匹配结果分析工作；2.使用建模工具进行信用模型及反欺诈模型开发，包括数据准备、建模及数据分析、模型的选取与优化、模型验证等工作；3.对海量业务数据进行分析，深度挖掘内部数据，构建用户征信的指标体系并具备开发及解释相应衍生变量、规则的能力；4.熟悉风控审批、额度、定价策略的制定方法及相应建模流程；5.针对不同金融机构和业务给出相应的风控建模方案，向客户进行阐释并参与实施；6.针对客户痛点进行业务引导并提供技术支持。我们需要您具备：1.统计、数学、计算机、金融工程等相关专业本科及以上学历，有较好数学或代码基础者优先；2.至少能熟练运用SAS、R、Pytho中的一种进行数据分析或建模；3.掌握逻辑回归、决策树、机器学习等算法，了解算法的原理；4.具备独立思考的能力，逻辑严谨，对数据敏感，善于发现、探索并解决问题；5.有较强的责任心及抗压能力；6.有建模大赛经验优先；7.同等条件下表达能力强者优先。
ADI,应用工程师实习生（上海）,5k-6k,上海,上海市浦东新区上海高科技园区祖冲之路2290号展想广场5楼,经验应届毕业生,硕士及以上,"职位描述：职位名称：ApplicatioEgieerIter工作地点：Shaghai职位描述：Jobdescriptio:lResearchaddesighighvoltage(1000V+)adprecisiosigalsourcebasedolatestADIprecisioproducts.lDevelopthesoftwareadGUItocotrolthesigalsource.lResposibleforIsolatiomodulatorperformaceadCMTItest.lDocumetthedesig,developmetprocessadqualificatioresult.lCreateHWtestspecificatio,performHWtestadcreatetestreports.Requiremet:lMSEEiEEorrelatedmajors.lExperieceiayofbelowisaplus.lBoardlevelschematicadPCBlayoutdesig.lUderstadbasicaalogcircuitdesigtheory.lUderstadICevaluatioadperformacespecificatiomeasuremettheoryadtechique.lVerilogadLabvieworPythoprogrammiglaguage.lSolidproblem-solvigadtrouble-shootigskills.lFamiliarwithcommoistrumetssuchasspectrumaalyzer,sigalsourceadoscilloscope.lSelf-motivatio,goodteamplayeradcommuicatioskills.lAtleast2mothsitership,thelogerthebetter."
华云数据,后端开发工程师（实习岗位）,4k-5k,上海,国通路118号中航天盛广场A栋,经验应届毕业生,本科及以上,职位描述：职位描述：1.本科及以上学历，软件、计算机等相关专业学生。2.熟悉操作系统、算法、设计模式、网络等基础知识。3.熟悉Golag/Java/Pytho一种语言。4.有自动化测试工具、平台和web开发经验者优先。5.优秀的沟通能力、主动学习能力和团队意识，强大的责任感有留用机会，一周提供至少3天的实习，持续时间4个月以上实习薪资：本科200元/天，硕士250元/天
快仓智能仓储,算法工程师( 调度/调优),12k-22k,上海,钦州北路1198号82幢12层,经验应届毕业生,本科及以上,职位描述：岗位职责：1.从事整数规划、机器学习、数据分析等算法的研究和工程化实现；2.对已有算法进行调优改进，提高算法的精度和性能；3.探索新算法解决应用中的新问题。岗位要求：1.计算机相关专业本科及以上学历，具备扎实的数学功底和算法功底；2.精通数据挖掘，机器学习，整数规划等的基本理论和常用算法，并从事过相关研发工作；3.掌握Java/Pytho或相关其它语言，扎实的编码和调试能力；熟练在Liux环境下工作；4.熟悉MySQL、SQLServer、Oracle等数据库一种或多种；5.扎实的独立分析问题、解决问题的能力，具备良好的需求理解能力、沟通协调能力和团队合作精神；具有高度的责任感和耐心细致的工作态度；能够承受较大工作压力。
